HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals,HomeFifaRank,HomeFifaPoints,HomeGoalsScoredLast4Y,HomeGoalsReceivedLast4Y,HomeWinsLast4Y,HomeLossesLast4Y,HomeDrawsLast4Y,HomeIsHost,HomeSquadMarketValueEur,HomeSquadAvgAge,HomeWorldCupTitlesBefore,AwayFifaRank,AwayFifaPoints,AwayGoalsScoredLast4Y,AwayGoalsReceivedLast4Y,AwayWinsLast4Y,AwayLossesLast4Y,AwayDrawsLast4Y,AwayIsHost,AwaySquadMarketValueEur,AwaySquadAvgAge,AwayWorldCupTitlesBefore,SameContinent,DiffFifaRank,DiffFifaPoints,DiffGoalsScoredLast4Y,DiffGoalsReceivedLast4Y,DiffWinsLast4Y,DiffLossesLast4Y,DiffDrawsLast4Y,DiffSquadMarketValueEur,DiffSquadAvgAge,DiffWorldCupTitlesBefore,DiffIsHost
Sweden,Bulgaria,1974,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Uruguay,1974,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Sweden,1974,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Netherlands,1974,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Uruguay,1974,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Haiti,1974,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Argentina,1974,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Italy,1974,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,Poland,1974,0,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Haiti,1974,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Italy,1974,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Argentina,1974,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,East Germany,1974,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Brazil,1974,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Germany,Netherlands,1974,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,East Germany,1974,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Brazil,1974,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,West Germany,1974,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Poland,1974,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Yugoslavia,1974,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Sweden,1974,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,West Germany,1974,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Yugoslavia,1974,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Poland,1974,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,West Germany,1974,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,France,1978,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Hungary,1978,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Hungary,1978,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,France,1978,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Hungary,1978,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Italy,1978,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Poland,1978,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,Mexico,1978,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Mexico,1978,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Tunisia,1978,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Tunisia,1978,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Mexico,1978,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Spain,1978,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Sweden,1978,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Sweden,1978,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Spain,1978,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Sweden,1978,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Austria,1978,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Scotland,1978,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Iran,1978,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Iran,1978,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Peru,1978,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Iran,1978,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Netherlands,1978,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Netherlands,1978,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,West Germany,1978,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,West Germany,1978,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Austria,1978,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,West Germany,1978,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Netherlands,1978,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Peru,1978,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Poland,1978,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Poland,1978,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Brazil,1978,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Poland,1978,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Peru,1978,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Italy,1978,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Netherlands,1978,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Poland,1982,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Cameroon,1982,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Peru,1982,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Cameroon,1982,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Peru,1982,5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Cameroon,1982,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Algeria,1982,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Austria,1982,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Chile,1982,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Austria,1982,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Chile,1982,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Austria,1982,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Belgium,1982,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,El Salvador,1982,10,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Hungary,1982,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,El Salvador,1982,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Hungary,1982,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,El Salvador,1982,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,France,1982,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,Kuwait,1982,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Czechoslovakia,1982,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Kuwait,1982,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Czechoslovakia,1982,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Kuwait,1982,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Honduras,1982,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,Northern Ireland,1982,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Yugoslavia,1982,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,Northern Ireland,1982,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,Yugoslavia,1982,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Northern Ireland,1982,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Soviet Union,1982,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,New Zealand,1982,5,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Scotland,1982,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,New Zealand,1982,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,Scotland,1982,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,New Zealand,1982,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Belgium,1982,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Soviet Union,1982,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,Poland,1982,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,England,1982,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Spain,1982,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,England,1982,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Argentina,1982,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Brazil,1982,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Brazil,1982,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,France,1982,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Northern Ireland,1982,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Northern Ireland,1982,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Italy,1982,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,France,1982,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,France,1982,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,West Germany,1982,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Italy,1986,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,South Korea,1986,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Argentina,1986,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,Bulgaria,1986,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,Italy,1986,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Bulgaria,1986,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Mexico,1986,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,Iraq,1986,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Paraguay,1986,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Belgium,1986,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,Belgium,1986,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Mexico,1986,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,France,1986,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,Hungary,1986,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Soviet Union,1986,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Canada,1986,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,France,1986,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,Canada,1986,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Brazil,1986,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Northern Ireland,1986,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Algeria,1986,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,Spain,1986,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,Brazil,1986,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Spain,1986,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,West Germany,1986,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Denmark,1986,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Scotland,1986,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Uruguay,1986,6,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,West Germany,1986,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Uruguay,1986,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,Poland,1986,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,England,1986,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Morocco,1986,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Portugal,1986,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Poland,1986,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Morocco,1986,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Bulgaria,1986,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,Belgium,1986,3,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Poland,1986,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Uruguay,1986,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,France,1986,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,West Germany,1986,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Paraguay,1986,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Spain,1986,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,France,1986,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Mexico,1986,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,England,1986,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Belgium,1986,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,West Germany,1986,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Belgium,1986,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,France,1986,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,West Germany,1986,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Austria,1990,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Czechoslovakia,1990,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,United States,1990,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Czechoslovakia,1990,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Czechoslovakia,1990,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,United States,1990,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Cameroon,1990,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,Romania,1990,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Soviet Union,1990,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Romania,1990,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Romania,1990,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Soviet Union,1990,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Sweden,1990,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,Scotland,1990,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Costa Rica,1990,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Scotland,1990,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Scotland,1990,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Costa Rica,1990,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Colombia,1990,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Yugoslavia,1990,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,Colombia,1990,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,United Arab Emirates,1990,5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Colombia,1990,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,United Arab Emirates,1990,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,South Korea,1990,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Spain,1990,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Uruguay,1990,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,Spain,1990,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Spain,1990,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,Uruguay,1990,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Republic of Ireland,1990,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Egypt,1990,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Netherlands,1990,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Ireland,Egypt,1990,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Egypt,1990,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Ireland,Netherlands,1990,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Colombia,1990,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,Costa Rica,1990,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Argentina,1990,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Netherlands,1990,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Ireland,Romania,1990,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Uruguay,1990,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Yugoslavia,1990,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Belgium,1990,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Yugoslavia,1990,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Ireland,Italy,1990,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,West Germany,1990,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,England,1990,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Italy,1990,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,England,1990,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,England,1990,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Argentina,1990,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Switzerland,1994,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Romania,1994,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Switzerland,1994,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Colombia,1994,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Colombia,1994,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Romania,1994,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Sweden,1994,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Russia,1994,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Cameroon,1994,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Russia,1994,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,Cameroon,1994,6,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Sweden,1994,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Bolivia,1994,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,South Korea,1994,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Spain,1994,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,Bolivia,1994,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,Spain,1994,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,South Korea,1994,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Greece,1994,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,Bulgaria,1994,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Nigeria,1994,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Greece,1994,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Bulgaria,1994,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Nigeria,1994,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Republic of Ireland,1994,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Mexico,1994,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Norway,1994,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Republic of Ireland,1994,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Mexico,1994,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Ireland,Norway,1994,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Morocco,1994,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Saudi Arabia,1994,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Netherlands,1994,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Morocco,1994,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Saudi Arabia,1994,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,Netherlands,1994,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
